Phase,FileName,CC,MSE,SSIM
phase1-1,phase1_input0059-modality0-WarpedToTemplate.nii.gz,0.9575729198509059,0.013561945490183828,0.860252159826885
phase1-1,phase1_input0048-modality0-WarpedToTemplate.nii.gz,0.9616187470899787,0.0154925959014276,0.8729321335418261
phase1-1,phase1_input0013-modality0-WarpedToTemplate.nii.gz,0.9560605531674948,0.03729595849819886,0.7941508425513554
phase1-1,phase1_input0071-modality0-WarpedToTemplate.nii.gz,0.9542063221175947,0.027127956545153865,0.8240106740507802
phase1-1,phase1_input0002-modality0-WarpedToTemplate.nii.gz,0.9572084130337164,0.017509702071817696,0.85842601706761
phase1-1,phase1_input0060-modality0-WarpedToTemplate.nii.gz,0.9570617823873112,0.02579615834271548,0.8364512832497888
phase1-1,phase1_input0036-modality0-WarpedToTemplate.nii.gz,0.9613530435500316,0.008612241610832329,0.8762517144752979
phase1-1,phase1_input0054-modality0-WarpedToTemplate.nii.gz,0.9472713209450823,0.012464338806556322,0.8643433732455075
phase1-1,phase1_input0086-modality0-WarpedToTemplate.nii.gz,0.9551147525949769,0.014419785746034976,0.8688822615770142
phase1-1,phase1_input0027-modality0-WarpedToTemplate.nii.gz,0.9552490323549674,0.011907969718543493,0.8675418550372423
phase1-1,phase1_input0045-modality0-WarpedToTemplate.nii.gz,0.9593341257310212,0.02279422543291569,0.8369269282926859
phase1-1,phase1_input0025-modality0-WarpedToTemplate.nii.gz,0.9523041427729201,0.028046863244881086,0.8232675839140814
phase1-1,phase1_input0084-modality0-WarpedToTemplate.nii.gz,0.9597555470892126,0.020640390283240242,0.8479203185980775
phase1-1,phase1_input0047-modality0-WarpedToTemplate.nii.gz,0.9582369070483112,0.027950214999225932,0.82872847286484
phase1-1,phase1_input0034-modality0-WarpedToTemplate.nii.gz,0.9594816309701251,0.014681630145826071,0.8728141161107917
phase1-1,phase1_input0056-modality0-WarpedToTemplate.nii.gz,0.9549297292050494,0.021551451340663254,0.8455247921938672
phase1-1,phase1_input0000-modality0-WarpedToTemplate.nii.gz,0.949327000196154,0.013246240134906996,0.8597609516851294
phase1-1,phase1_input0062-modality0-WarpedToTemplate.nii.gz,0.9553820138641979,0.01232629851970174,0.8724382304773328
phase1-1,phase1_input0011-modality0-WarpedToTemplate.nii.gz,0.9608124262981109,0.01692424915943173,0.864347783914483
phase1-1,phase1_input0073-modality0-WarpedToTemplate.nii.gz,0.96343790227105,0.022509904597965924,0.8468498685990069
phase1-1,phase1_input0028-modality0-WarpedToTemplate.nii.gz,0.9517327302385248,0.01803914349055188,0.8537605875171957
phase1-1,phase1_input0089-modality0-WarpedToTemplate.nii.gz,0.9618289740612822,0.01912621081919617,0.8549110849155642
phase1-1,phase1_input0039-modality0-WarpedToTemplate.nii.gz,0.9544334180427427,0.024906806554978893,0.841719902020031
phase1-1,phase1_input0049-modality0-WarpedToTemplate.nii.gz,0.9604078021949689,0.017068490363660233,0.8631928787834511
phase1-1,phase1_input0058-modality0-WarpedToTemplate.nii.gz,0.9537678603439275,0.01999887243886938,0.8474576793979148
phase1-1,phase1_input0003-modality0-WarpedToTemplate.nii.gz,0.9571973132193055,0.019303755179403363,0.8528540978991872
phase1-1,phase1_input0061-modality0-WarpedToTemplate.nii.gz,0.9502534427747722,0.018368847936790694,0.8524409252152414
phase1-1,phase1_input0012-modality0-WarpedToTemplate.nii.gz,0.959049569792257,0.021060158506600923,0.8505761090753836
phase1-1,phase1_input0070-modality0-WarpedToTemplate.nii.gz,0.9654500102405372,0.01358293404341343,0.8788738667703451
phase1-1,phase1_input0087-modality0-WarpedToTemplate.nii.gz,0.9588305122057028,0.0198672004223784,0.851145250490641
phase1-1,phase1_input0026-modality0-WarpedToTemplate.nii.gz,0.9588537767936818,0.02393108338148361,0.8392558485370916
phase1-1,phase1_input0044-modality0-WarpedToTemplate.nii.gz,0.9661947459040416,0.008704497883443867,0.8868947948144226
phase1-1,phase1_input0037-modality0-WarpedToTemplate.nii.gz,0.9498737671121569,0.01992132079361618,0.8525874386341232
phase1-1,phase1_input0055-modality0-WarpedToTemplate.nii.gz,0.9488512131281986,0.028518778554226423,0.8203364775532507
phase1-1,phase1_input0035-modality0-WarpedToTemplate.nii.gz,0.9658966341730008,0.018080847054266276,0.8647040054507924
phase1-1,phase1_input0057-modality0-WarpedToTemplate.nii.gz,0.958580116308399,0.01418603376687351,0.8702564846457166
phase1-1,phase1_input0024-modality0-WarpedToTemplate.nii.gz,0.9594554917860575,0.02516549935156556,0.8390237630716387
phase1-1,phase1_input0085-modality0-WarpedToTemplate.nii.gz,0.951707132958808,0.022949171475524624,0.842797658368093
phase1-1,phase1_input0046-modality0-WarpedToTemplate.nii.gz,0.9532326382078492,0.01651411584974462,0.8563481518303736
phase1-1,phase1_input0010-modality0-WarpedToTemplate.nii.gz,0.9582602472991824,0.024425777968526328,0.8410616423159966
phase1-1,phase1_input0072-modality0-WarpedToTemplate.nii.gz,0.9623170792346811,0.0228360512581948,0.8452784286216597
phase1-1,phase1_input0001-modality0-WarpedToTemplate.nii.gz,0.9573370153251896,0.011271016071181958,0.8791392571873579
phase1-1,phase1_input0063-modality0-WarpedToTemplate.nii.gz,0.959691144548638,0.02734040802895229,0.8250592698135467
phase1-1,phase1_input0038-modality0-WarpedToTemplate.nii.gz,0.9442984036218476,0.011282465240665958,0.8727857698243796
phase1-1,phase1_input0029-modality0-WarpedToTemplate.nii.gz,0.9567852156120338,0.017392447463008495,0.8589943329129229
phase1-1,phase1_input0088-modality0-WarpedToTemplate.nii.gz,0.9606803595354634,0.018435941220645055,0.8584927167709354
phase1-1,phase1_input0068-modality0-WarpedToTemplate.nii.gz,0.9592696245807075,0.0274445623906416,0.8312393213143214
phase1-1,phase1_input0079-modality0-WarpedToTemplate.nii.gz,0.94942892938068,0.020693029744332916,0.8527907895016095
phase1-1,phase1_input0022-modality0-WarpedToTemplate.nii.gz,0.9615356526910931,0.025816328754264723,0.8390842946794316
phase1-1,phase1_input0083-modality0-WarpedToTemplate.nii.gz,0.9561327541322111,0.014573139622758602,0.8612473543379777
phase1-1,phase1_input0040-modality0-WarpedToTemplate.nii.gz,0.9591913960553866,0.014704421501258988,0.8694580251677557
phase1-1,phase1_input0033-modality0-WarpedToTemplate.nii.gz,0.9607643781658641,0.015406651907091208,0.8656849365758224
